Table 5 - Regional level employment by 2 & 3 digit SIC 2007 (Public/Private Split),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Scotland,,,,,,,,,Reference year 2010 Thousands ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 SIC,3 SIC,Full time employees,,,Part time employees,,,Total employees,,,Total employment,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Public,Private,All,Public,Private,All,Public,Private,All,Public,Private,All,,,,,,,,,,,,,,,,,,,,,,,,,,
,171,-,1.6,1.6,-,-,-,-,1.6,1.6,-,1.6,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,
,172,-,2.6,2.6,-,0.2,0.2,-,2.8,2.8,-,2.9,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,0.1,5.9,5.9,-,0.7,0.7,0.1,6.6,6.6,0.1,6.8,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,
,181,0.1,5.8,5.9,-,0.7,0.7,0.1,6.5,6.5,0.1,6.8,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,
,182,-,0.1,0.1,-,-,-,-,0.1,0.1,-,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,-,0.1,0.1,-,-,-,-,0.1,0.1,-,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,
,191,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,
,192,-,0.1,0.1,-,-,-,-,0.1,0.1,-,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,-,5.8,5.8,-,0.2,0.2,-,6.0,6.0,-,6.1,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,
,201,-,3.0,3.0,-,0.1,0.1,-,3.0,3.0,-,3.1,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,
,202,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,,,,,,,,,,,,,,
,203,-,*,*,-,*,*,-,0.3,0.3,-,0.3,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,
,204,-,0.8,0.8,-,0.1,0.1,-,0.9,0.9,-,0.9,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,
,205,-,1.2,1.2,-,-,-,-,1.2,1.2,-,1.2,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,
,206,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,*,*,2.9,*,*,0.1,*,*,3.0,*,*,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,211,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,,,,,,,,,,,,,,
,212,*,*,*,*,*,*,*,*,*,*,*,*,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,-,7.3,7.3,-,0.4,0.4,-,7.7,7.7,-,7.7,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,
,221,-,1.6,1.6,-,0.1,0.1,-,1.8,1.8,-,1.8,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,
,222,-,5.6,5.6,-,0.3,0.3,-,5.9,5.9,-,5.9,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,
