Table 5 - Regional level employment by 2 & 3 digit SIC 2007(Public/Private Split),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,North West,,,,,,,,,Reference year 2010 Thousands ,,,,,,,,,,,,,,,
2 SIC,3 SIC,Full time employees,,,Part time employees,,,Total employees,,,Total employment,,,,,,,,,,,,,,,
,,Public,Private,All,Public,Private,All,Public,Private,All,Public,Private,All,,,,,,,,,,,,,
,461,-,2.6,2.6,-,1.0,1.0,-,3.5,3.5,-,4.1,4.1,,,,,,,,,,,,,
,462,-,0.5,0.5,-,0.2,0.2,-,0.7,0.7,-,0.7,0.7,,,,,,,,,,,,,
,463,-,16.9,16.9,-,5.0,5.0,-,21.9,21.9,-,23.0,23.0,,,,,,,,,,,,,
,464,*,*,24.0,*,*,4.7,*,*,28.7,*,*,30.3,,,,,,,,,,,,,
,465,-,10.3,10.3,-,0.9,0.9,-,11.2,11.2,-,11.8,11.8,,,,,,,,,,,,,
,466,-,18.9,18.9,-,2.1,2.1,-,21.0,21.0,-,21.9,21.9,,,,,,,,,,,,,
,467,-,23.0,23.0,-,2.6,2.6,-,25.6,25.6,-,26.8,26.8,,,,,,,,,,,,,
,469,-,2.8,2.8,-,0.9,0.9,-,3.6,3.6,-,4.3,4.3,,,,,,,,,,,,,
47,,0.1,128.4,128.5,-,184.9,184.9,0.2,313.3,313.4,0.2,333.9,334.0,,,,,,,,,,,,,
,471,-,47.2,47.2,-,101.4,101.4,-,148.5,148.5,-,156.0,156.0,,,,,,,,,,,,,
,472,-,5.9,5.9,-,10.2,10.2,-,16.1,16.1,-,18.8,18.8,,,,,,,,,,,,,
,473,*,*,1.0,*,*,1.1,*,*,2.1,*,*,2.1,,,,,,,,,,,,,
,474,-,4.5,4.5,-,1.4,1.4,-,6.0,6.0,-,6.1,6.1,,,,,,,,,,,,,
,475,-,14.3,14.3,-,9.5,9.5,-,23.8,23.8,-,25.3,25.3,,,,,,,,,,,,,
,476,*,*,6.6,*,*,7.8,*,*,14.4,*,*,16.3,,,,,,,,,,,,,
,477,*,*,33.5,*,*,47.5,*,*,81.0,*,*,86.8,,,,,,,,,,,,,
,478,*,*,0.3,*,*,0.2,-,0.4,0.5,-,0.6,0.6,,,,,,,,,,,,,
,479,-,15.2,15.2,-,5.9,5.9,-,21.0,21.0,-,22.0,22.0,,,,,,,,,,,,,
49,,2.6,44.2,46.9,0.5,10.5,11.1,3.2,54.8,57.9,3.3,58.4,61.7,,,,,,,,,,,,,
,491,-,2.4,2.4,-,0.2,0.2,-,2.5,2.5,-,2.6,2.6,,,,,,,,,,,,,
,492,*,*,1.0,*,*,-,*,*,1.0,*,*,1.0,,,,,,,,,,,,,
,493,*,*,20.6,*,*,4.6,*,*,25.1,*,*,26.6,,,,,,,,,,,,,
,494,-,22.9,22.9,-,6.3,6.3,-,29.2,29.2,-,31.5,31.5,,,,,,,,,,,,,
,495,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
50,,*,*,1.0,*,*,0.1,*,*,1.2,*,*,1.2,,,,,,,,,,,,,
,501,-,0.3,0.3,-,0.1,0.1,-,0.3,0.3,-,0.3,0.3,,,,,,,,,,,,,
,502,*,*,0.7,*,*,-,*,*,0.7,*,*,0.7,,,,,,,,,,,,,
,503,*,*,*,*,*,*,*,*,0.1,*,*,0.1,,,,,,,,,,,,,
,504,-,*,*,-,*,*,-,-,-,-,-,-,,,,,,,,,,,,,
51,,-,4.9,4.9,-,1.1,1.1,-,6.0,6.0,-,6.0,6.0,,,,,,,,,,,,,
,511,-,4.8,4.8,-,1.1,1.1,-,5.9,5.9,-,5.9,5.9,,,,,,,,,,,,,
,512,-,0.1,0.1,-,-,-,-,0.1,0.1,-,0.1,0.1,,,,,,,,,,,,,
52,,3.7,32.5,36.2,0.5,2.9,3.4,4.2,35.4,39.6,4.2,35.7,39.9,,,,,,,,,,,,,
,521,*,*,18.4,*,*,1.3,*,*,19.7,*,*,19.7,,,,,,,,,,,,,
,522,*,*,17.8,*,*,2.1,*,*,19.9,*,*,20.2,,,,,,,,,,,,,
53,,*,*,23.3,*,*,3.6,*,*,26.9,*,*,28.3,,,,,,,,,,,,,
,531,*,*,15.7,*,*,2.5,*,*,18.2,*,*,18.2,,,,,,,,,,,,,
,532,-,7.6,7.6,-,1.1,1.1,-,8.7,8.7,-,10.0,10.0,,,,,,,,,,,,,
55,,*,*,20.0,*,*,16.8,*,*,36.8,*,*,37.9,,,,,,,,,,,,,
,551,*,*,16.0,*,*,14.5,*,*,30.5,*,*,31.4,,,,,,,,,,,,,
,552,-,2.3,2.3,-,1.3,1.3,-,3.6,3.6,-,3.7,3.7,,,,,,,,,,,,,
,553,-,1.2,1.2,-,0.7,0.7,-,1.9,1.9,-,2.0,2.0,,,,,,,,,,,,,
,559,-,0.4,0.4,-,0.4,0.4,-,0.8,0.8,-,0.8,0.8,,,,,,,,,,,,,
56,,*,*,61.5,*,*,93.6,*,*,155.1,*,*,162.9,,,,,,,,,,,,,
,561,*,*,27.7,*,*,36.3,*,*,64.0,*,*,68.5,,,,,,,,,,,,,
,562,3.4,12.4,15.9,2.8,17.9,20.7,6.2,30.3,36.6,6.2,30.9,37.2,,,,,,,,,,,,,
,563,-,17.9,17.9,-,36.6,36.6,-,54.5,54.5,-,57.2,57.2,,,,,,,,,,,,,
58,,*,*,8.1,*,*,1.3,*,*,9.4,*,*,10.6,,,,,,,,,,,,,
,581,*,*,7.5,*,*,1.2,*,*,8.7,*,*,9.8,,,,,,,,,,,,,
,582,-,0.6,0.6,-,0.1,0.1,-,0.6,0.6,-,0.8,0.8,,,,,,,,,,,,,
59,,*,*,2.4,*,*,2.2,*,*,4.6,*,*,5.3,,,,,,,,,,,,,
,591,*,*,2.3,*,*,2.2,*,*,4.5,*,*,5.2,,,,,,,,,,,,,
,592,-,-,-,-,-,-,-,0.1,0.1,-,0.1,0.1,,,,,,,,,,,,,
60,,*,*,1.1,*,*,0.2,*,*,1.3,*,*,1.8,,,,,,,,,,,,,
,601,-,0.8,0.8,-,0.2,0.2,-,1.0,1.0,-,1.3,1.3,,,,,,,,,,,,,
,602,*,*,0.3,*,*,0.1,*,*,0.4,*,*,0.5,,,,,,,,,,,,,
61,,-,17.9,17.9,-,1.7,1.7,-,19.6,19.6,-,21.0,21.0,,,,,,,,,,,,,
,611,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
,612,-,*,*,-,*,*,-,3.3,3.3,-,3.5,3.5,,,,,,,,,,,,,
,613,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
,619,-,14.4,14.4,-,1.2,1.2,-,15.6,15.6,-,16.7,16.7,,,,,,,,,,,,,
62,,*,*,26.9,*,*,3.7,*,*,30.6,*,*,33.2,,,,,,,,,,,,,
,620,*,*,26.9,*,*,3.7,*,*,30.6,*,*,33.2,,,,,,,,,,,,,
63,,*,*,3.6,*,*,0.8,*,*,4.4,*,*,4.8,,,,,,,,,,,,,
,631,-,3.0,3.0,-,0.6,0.6,-,3.6,3.6,-,3.9,3.9,,,,,,,,,,,,,
,639,*,*,0.6,*,*,0.2,*,*,0.8,*,*,0.9,,,,,,,,,,,,,
64,,13.3,27.3,40.6,2.3,7.8,10.1,15.6,35.0,50.7,15.6,38.0,53.6,,,,,,,,,,,,,
,641,13.3,24.0,37.3,2.2,6.2,8.4,15.5,30.2,45.7,15.5,30.5,46.1,,,,,,,,,,,,,
,642,*,*,0.1,*,*,-,*,*,0.1,*,*,0.3,,,,,,,,,,,,,
,643,*,*,0.3,*,*,-,*,*,0.3,*,*,0.4,,,,,,,,,,,,,
,649,*,*,2.9,*,*,1.6,*,*,4.5,*,*,6.8,,,,,,,,,,,,,
65,,0.5,10.3,10.7,0.1,1.4,1.5,0.5,11.7,12.2,0.5,11.7,12.2,,,,,,,,,,,,,
,651,*,*,*,*,*,*,*,*,*,*,*,*,,,,,,,,,,,,,
,652,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
,653,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
66,,3.8,24.1,27.9,0.2,6.2,6.4,4.0,30.3,34.3,4.0,31.4,35.5,,,,,,,,,,,,,
,661,*,*,7.5,*,*,2.0,*,*,9.5,*,*,10.1,,,,,,,,,,,,,
,662,*,*,19.5,*,*,4.3,*,*,23.8,*,*,24.3,,,,,,,,,,,,,
,663,*,*,1.0,*,*,0.2,*,*,1.1,*,*,1.1,,,,,,,,,,,,,
68,,3.4,22.6,26.0,0.6,7.5,8.1,4.0,30.1,34.1,4.1,41.5,45.6,,,,,,,,,,,,,
,681,-,0.1,0.1,-,0.1,0.1,-,0.2,0.2,-,0.6,0.6,,,,,,,,,,,,,
,682,0.4,13.3,13.7,0.1,5.4,5.6,0.6,18.7,19.2,0.6,28.5,29.0,,,,,,,,,,,,,
