Table 5 - Regional level employment by 2 & 3 digit SIC2007 (Public/Private Split),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Wales,,,,,,,,,Reference year 2010 Thousands ,,,,,,,,,,,,,,,
2 SIC,3 SIC,Full time employees,,,Part time employees,,,Total employees,,,Total employment,,,,,,,,,,,,,,,
,,Public,Private,All,Public,Private,All,Public,Private,All,Public,Private,All,,,,,,,,,,,,,
,383,*,*,2.4,*,*,0.3,*,*,2.7,*,*,2.7,,,,,,,,,,,,,
39,,-,0.1,0.1,-,-,-,-,0.1,0.1,-,0.1,0.1,,,,,,,,,,,,,
,390,-,0.1,0.1,-,-,-,-,0.1,0.1,-,0.1,0.1,,,,,,,,,,,,,
41,,0.9,10.5,11.4,0.1,1.4,1.4,1.0,11.8,12.8,1.0,14.7,15.8,,,,,,,,,,,,,
,411,-,1.0,1.0,-,0.4,0.4,-,1.4,1.4,-,2.2,2.2,,,,,,,,,,,,,
,412,0.9,9.5,10.4,0.1,1.0,1.1,1.0,10.5,11.5,1.0,12.5,13.6,,,,,,,,,,,,,
42,,*,*,11.6,*,*,0.9,*,*,12.5,*,*,13.2,,,,,,,,,,,,,
,421,2.1,1.8,3.8,0.3,0.1,0.4,2.4,1.9,4.3,2.4,2.0,4.3,,,,,,,,,,,,,
,422,-,0.1,0.1,-,-,-,-,0.1,0.1,-,0.2,0.2,,,,,,,,,,,,,
,429,*,*,7.6,*,*,0.5,*,*,8.1,*,*,8.7,,,,,,,,,,,,,
43,,*,*,27.5,*,*,2.5,*,*,30.0,*,*,35.7,,,,,,,,,,,,,
,431,-,0.4,0.4,-,0.1,0.1,-,0.4,0.4,-,0.6,0.6,,,,,,,,,,,,,
,432,*,*,16.3,*,*,1.2,*,*,17.5,*,*,20.0,,,,,,,,,,,,,
,433,*,*,6.2,*,*,0.9,*,*,7.2,*,*,8.8,,,,,,,,,,,,,
,439,-,4.6,4.6,-,0.3,0.3,-,4.9,4.9,-,6.2,6.2,,,,,,,,,,,,,
45,,*,*,16.0,*,*,2.8,*,*,18.8,*,*,21.5,,,,,,,,,,,,,
,451,-,6.3,6.3,-,1.1,1.1,-,7.5,7.5,-,8.1,8.1,,,,,,,,,,,,,
,452,*,*,6.3,*,*,0.9,*,*,7.2,*,*,8.8,,,,,,,,,,,,,
,453,-,3.0,3.0,-,0.7,0.7,-,3.7,3.7,-,4.1,4.1,,,,,,,,,,,,,
,454,-,0.3,0.3,-,0.1,0.1,-,0.4,0.4,-,0.5,0.5,,,,,,,,,,,,,
46,,*,*,27.7,*,*,5.4,*,*,33.1,*,*,35.3,,,,,,,,,,,,,
,461,-,1.5,1.5,-,0.6,0.6,-,2.1,2.1,-,2.4,2.4,,,,,,,,,,,,,
,462,-,0.4,0.4,-,0.1,0.1,-,0.5,0.5,-,0.7,0.7,,,,,,,,,,,,,
,463,-,6.2,6.2,-,1.4,1.4,-,7.6,7.6,-,8.0,8.0,,,,,,,,,,,,,
,464,*,*,4.8,*,*,1.0,*,*,5.8,*,*,6.0,,,,,,,,,,,,,
,465,-,0.9,0.9,-,-,-,-,1.0,1.0,-,1.2,1.2,,,,,,,,,,,,,
,466,-,4.3,4.3,-,0.6,0.6,-,4.9,4.9,-,5.4,5.4,,,,,,,,,,,,,
,467,-,8.4,8.4,-,1.4,1.4,-,9.8,9.8,-,10.2,10.2,,,,,,,,,,,,,
,469,*,*,1.1,*,*,0.3,*,*,1.4,*,*,1.5,,,,,,,,,,,,,
47,,0.1,50.7,50.8,0.2,82.0,82.2,0.4,132.7,133.0,0.4,140.9,141.2,,,,,,,,,,,,,
,471,-,21.9,21.9,-,46.0,46.0,-,67.8,67.8,-,70.2,70.2,,,,,,,,,,,,,
,472,-,1.5,1.5,-,2.4,2.4,-,3.9,3.9,-,4.9,4.9,,,,,,,,,,,,,
,473,*,*,1.3,*,*,1.2,*,*,2.5,*,*,2.6,,,,,,,,,,,,,
,474,-,1.1,1.1,-,0.6,0.6,-,1.6,1.6,-,1.7,1.7,,,,,,,,,,,,,
,475,-,6.7,6.7,-,4.6,4.6,-,11.3,11.3,-,12.2,12.2,,,,,,,,,,,,,
,476,*,*,2.5,*,*,3.5,*,*,6.1,*,*,6.5,,,,,,,,,,,,,
,477,*,*,13.8,*,*,23.0,*,*,36.7,*,*,39.3,,,,,,,,,,,,,
,478,*,*,0.1,*,*,0.1,*,*,0.1,*,*,0.1,,,,,,,,,,,,,
,479,-,2.1,2.1,-,0.8,0.8,-,2.9,2.9,-,3.7,3.7,,,,,,,,,,,,,
49,,*,*,13.8,*,*,4.4,*,*,18.3,*,*,20.2,,,,,,,,,,,,,
,491,-,1.4,1.4,-,-,-,-,1.5,1.5,-,1.5,1.5,,,,,,,,,,,,,
,492,-,*,*,-,*,*,-,0.2,0.2,-,0.2,0.2,,,,,,,,,,,,,
,493,*,*,*,*,*,*,1.1,7.3,8.4,1.1,8.2,9.3,,,,,,,,,,,,,
