Table 5 - Regional level employment by 2 & 3 digit SIC 2007 (Public/Private Split),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,West Midlands,,,,,,,,,Reference year 2010 Thousands ,,,,,,,,,,,,,,,
2 SIC,3 SIC,Full time employees,,,Part time employees,,,Total employees,,,Total employment,,,,,,,,,,,,,,,
,,Public,Private,All,Public,Private,All,Public,Private,All,Public,Private,All,,,,,,,,,,,,,
,472,-,6.9,6.9,-,8.0,8.0,-,14.9,14.9,-,17.6,17.6,,,,,,,,,,,,,
,473,-,1.6,1.6,-,2.0,2.0,-,3.7,3.7,-,3.7,3.7,,,,,,,,,,,,,
,474,-,4.6,4.6,-,1.1,1.1,-,5.7,5.7,-,5.9,5.9,,,,,,,,,,,,,
,475,-,15.1,15.1,-,8.7,8.7,-,23.8,23.8,-,26.7,26.7,,,,,,,,,,,,,
,476,*,*,4.4,*,*,5.9,*,*,10.3,*,*,11.4,,,,,,,,,,,,,
,477,*,*,26.5,*,*,40.8,-,67.3,67.3,-,72.4,72.5,,,,,,,,,,,,,
,478,*,*,0.2,*,*,0.2,-,0.4,0.4,-,0.5,0.5,,,,,,,,,,,,,
,479,*,*,4.6,*,*,3.2,*,*,7.8,*,*,10.1,,,,,,,,,,,,,
49,,0.5,33.7,34.2,0.4,9.2,9.6,1.0,42.9,43.8,1.0,46.3,47.3,,,,,,,,,,,,,
,491,-,3.1,3.1,-,0.2,0.2,-,3.2,3.2,-,3.2,3.2,,,,,,,,,,,,,
,492,-,*,*,-,*,*,-,0.3,0.3,-,0.3,0.3,,,,,,,,,,,,,
,493,*,*,*,*,*,*,*,*,16.0,*,*,16.9,,,,,,,,,,,,,
,494,*,*,18.3,*,*,6.0,*,*,24.2,*,*,26.8,,,,,,,,,,,,,
,495,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
50,,-,0.2,0.2,-,0.3,0.3,-,0.6,0.6,-,0.6,0.6,,,,,,,,,,,,,
,501,-,0.1,0.1,-,0.1,0.1,-,0.2,0.2,-,0.2,0.2,,,,,,,,,,,,,
,502,-,0.1,0.1,-,0.1,0.1,-,0.2,0.2,-,0.2,0.2,,,,,,,,,,,,,
,503,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
,504,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
51,,-,1.6,1.6,-,0.3,0.3,-,1.9,1.9,-,1.9,1.9,,,,,,,,,,,,,
,511,-,1.4,1.4,-,0.2,0.2,-,1.7,1.7,-,1.7,1.7,,,,,,,,,,,,,
,512,-,0.2,0.2,-,-,-,-,0.2,0.2,-,0.2,0.2,,,,,,,,,,,,,
52,,*,*,25.1,*,*,4.0,*,*,29.2,*,*,29.6,,,,,,,,,,,,,
,521,*,*,17.1,*,*,2.2,*,*,19.2,*,*,19.2,,,,,,,,,,,,,
,522,0.5,7.6,8.1,0.1,1.8,1.8,0.6,9.3,9.9,0.6,9.8,10.4,,,,,,,,,,,,,
53,,*,*,25.6,*,*,5.2,*,*,30.8,*,*,32.1,,,,,,,,,,,,,
,531,*,*,11.6,*,*,2.2,*,*,13.8,*,*,13.8,,,,,,,,,,,,,
,532,-,14.1,14.1,-,2.9,2.9,-,17.0,17.0,-,18.3,18.3,,,,,,,,,,,,,
55,,*,*,11.9,*,*,10.7,*,*,22.6,*,*,23.3,,,,,,,,,,,,,
,551,-,11.0,11.0,-,10.2,10.2,-,21.1,21.1,-,21.8,21.8,,,,,,,,,,,,,
,552,-,0.3,0.3,-,0.2,0.2,-,0.6,0.6,-,0.6,0.6,,,,,,,,,,,,,
,553,-,0.5,0.5,-,0.2,0.2,-,0.8,0.8,-,0.8,0.8,,,,,,,,,,,,,
,559,*,*,0.1,*,*,-,*,*,0.1,*,*,0.1,,,,,,,,,,,,,
56,,*,*,36.6,*,*,63.2,*,*,99.7,*,*,105.6,,,,,,,,,,,,,
,561,-,15.7,15.7,-,22.7,22.7,-,38.4,38.4,-,41.4,41.4,,,,,,,,,,,,,
,562,0.4,5.8,6.1,0.6,8.6,9.2,1.0,14.4,15.4,1.0,14.7,15.7,,,,,,,,,,,,,
,563,*,*,14.8,*,*,31.2,*,*,46.0,*,*,48.5,,,,,,,,,,,,,
58,,-,3.5,3.5,-,0.5,0.5,-,4.0,4.0,-,4.4,4.4,,,,,,,,,,,,,
,581,-,3.2,3.2,-,0.5,0.5,-,3.7,3.7,-,4.0,4.0,,,,,,,,,,,,,
,582,-,0.2,0.2,-,0.1,0.1,-,0.3,0.3,-,0.4,0.4,,,,,,,,,,,,,
59,,*,*,6.5,*,*,1.3,*,*,7.8,*,*,7.8,,,,,,,,,,,,,
,591,*,*,6.0,*,*,1.3,*,*,7.2,*,*,7.2,,,,,,,,,,,,,
,592,-,0.5,0.5,-,-,-,-,0.5,0.5,-,0.5,0.5,,,,,,,,,,,,,
60,,-,0.3,0.3,-,0.1,0.1,-,0.4,0.4,-,0.5,0.5,,,,,,,,,,,,,
,601,-,*,*,-,*,*,-,0.3,0.3,-,0.3,0.3,,,,,,,,,,,,,
,602,-,*,*,-,*,*,-,0.2,0.2,-,0.2,0.2,,,,,,,,,,,,,
61,,*,*,12.1,*,*,1.1,*,*,13.2,*,*,13.9,,,,,,,,,,,,,
,611,-,0.1,0.1,-,-,-,-,0.2,0.2,-,0.2,0.2,,,,,,,,,,,,,
,612,-,0.3,0.3,-,-,-,-,0.4,0.4,-,0.4,0.4,,,,,,,,,,,,,
,613,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
,619,*,*,11.6,*,*,1.0,*,*,12.7,*,*,13.3,,,,,,,,,,,,,
62,,0.1,35.6,35.7,-,3.8,3.9,0.2,39.4,39.6,0.2,42.5,42.7,,,,,,,,,,,,,
,620,0.1,35.6,35.7,-,3.8,3.9,0.2,39.4,39.6,0.2,42.5,42.7,,,,,,,,,,,,,
63,,*,*,2.9,*,*,0.6,*,*,3.5,*,*,3.5,,,,,,,,,,,,,
,631,*,*,2.2,*,*,0.5,*,*,2.7,*,*,2.7,,,,,,,,,,,,,
,639,-,0.6,0.6,-,0.1,0.1,-,0.8,0.8,-,0.8,0.8,,,,,,,,,,,,,
64,,10.8,15.9,26.7,2.5,5.3,7.8,13.2,21.2,34.5,13.2,22.8,36.1,,,,,,,,,,,,,
,641,*,*,24.2,*,*,6.6,*,*,30.8,*,*,31.2,,,,,,,,,,,,,
,642,-,0.2,0.2,-,0.2,0.2,-,0.4,0.4,-,0.6,0.6,,,,,,,,,,,,,
,643,-,-,-,-,-,-,-,0.1,0.1,-,0.1,0.1,,,,,,,,,,,,,
,649,*,*,2.3,*,*,1.0,*,*,3.3,*,*,4.2,,,,,,,,,,,,,
65,,*,*,7.5,*,*,1.4,*,*,8.8,*,*,8.8,,,,,,,,,,,,,
,651,*,*,7.5,*,*,1.4,*,*,8.8,*,*,8.8,,,,,,,,,,,,,
,652,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
,653,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
66,,*,*,23.8,*,*,4.8,*,*,28.7,*,*,29.5,,,,,,,,,,,,,
,661,*,*,8.1,*,*,1.5,1.2,8.3,9.6,1.2,8.3,9.6,,,,,,,,,,,,,
,662,*,*,14.7,*,*,3.2,*,*,17.9,*,*,18.7,,,,,,,,,,,,,
,663,*,*,1.0,*,*,0.2,*,*,1.2,*,*,1.2,,,,,,,,,,,,,
68,,1.9,17.5,19.4,0.5,7.0,7.6,2.5,24.5,27.0,2.6,32.1,34.7,,,,,,,,,,,,,
,681,-,0.1,0.1,-,0.1,0.1,-,0.2,0.2,-,0.4,0.4,,,,,,,,,,,,,
,682,0.3,11.2,11.4,0.1,4.0,4.1,0.3,15.2,15.5,0.4,21.2,21.6,,,,,,,,,,,,,
