Table 5 - Regional level employment by 2 & 3 digit SIC 2007(Public/Private Split),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,North East,,,,,,,,,Reference year 2010 Thousands ,,,,,,,,,,,,,,,
2 SIC,3 SIC,Full time employees,,,Part time employees,,,Total employees,,,Total employment,,,,,,,,,,,,,,,
,,Public,Private,All,Public,Private,All,Public,Private,All,Public,Private,All,,,,,,,,,,,,,
01*,,-,2.3,2.3,-,0.9,0.9,-,3.2,3.2,-,10.7,10.7,,,,,,,,,,,,,
,237,-,0.2,0.2,-,-,-,-,0.2,0.2,-,0.3,0.3,,,,,,,,,,,,,
,239,-,0.5,0.5,-,-,-,-,0.5,0.5,-,0.6,0.6,,,,,,,,,,,,,
24,,-,3.3,3.3,-,-,-,-,3.3,3.3,-,3.3,3.3,,,,,,,,,,,,,
,241,-,1.5,1.5,-,-,-,-,1.6,1.6,-,1.6,1.6,,,,,,,,,,,,,
,242,-,0.8,0.8,-,-,-,-,0.8,0.8,-,0.8,0.8,,,,,,,,,,,,,
,243,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
,244,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
,245,-,0.5,0.5,-,-,-,-,0.5,0.5,-,0.5,0.5,,,,,,,,,,,,,
25,,*,*,12.1,*,*,0.2,*,*,12.3,*,*,12.4,,,,,,,,,,,,,
,251,-,2.7,2.7,-,-,-,-,2.7,2.7,-,2.8,2.8,,,,,,,,,,,,,
,252,-,0.3,0.3,-,-,-,-,0.3,0.3,-,0.3,0.3,,,,,,,,,,,,,
,253,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
,254,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
,255,-,1.4,1.4,-,-,-,-,1.4,1.4,-,1.4,1.4,,,,,,,,,,,,,
,256,*,*,5.8,*,*,0.1,*,*,5.9,*,*,6.0,,,,,,,,,,,,,
,257,-,0.4,0.4,-,-,-,-,0.4,0.4,-,0.4,0.4,,,,,,,,,,,,,
,259,-,1.2,1.2,-,-,-,-,1.2,1.2,-,1.3,1.3,,,,,,,,,,,,,
26,,-,4.4,4.4,-,0.5,0.5,-,4.9,4.9,-,5.2,5.2,,,,,,,,,,,,,
,261,-,1.5,1.5,-,0.1,0.1,-,1.6,1.6,-,1.7,1.7,,,,,,,,,,,,,
,262,-,0.3,0.3,-,-,-,-,0.4,0.4,-,0.4,0.4,,,,,,,,,,,,,
,263,-,0.8,0.8,-,0.1,0.1,-,0.9,0.9,-,0.9,0.9,,,,,,,,,,,,,
,264,-,0.4,0.4,-,0.1,0.1,-,0.5,0.5,-,0.5,0.5,,,,,,,,,,,,,
,265,-,1.3,1.3,-,0.2,0.2,-,1.5,1.5,-,1.6,1.6,,,,,,,,,,,,,
,266,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
,267,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
,268,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
27,,*,*,4.4,*,*,0.1,*,*,4.5,*,*,4.8,,,,,,,,,,,,,
,271,-,1.1,1.1,-,-,-,-,1.1,1.1,-,1.2,1.2,,,,,,,,,,,,,
,272,-,0.4,0.4,-,-,-,-,0.4,0.4,-,0.4,0.4,,,,,,,,,,,,,
,273,-,1.4,1.4,-,-,-,-,1.4,1.4,-,1.4,1.4,,,,,,,,,,,,,
,274,*,*,0.9,*,*,-,*,*,0.9,*,*,1.0,,,,,,,,,,,,,
,275,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
,279,-,0.6,0.6,-,-,-,-,0.6,0.6,-,0.7,0.7,,,,,,,,,,,,,
28,,-,9.8,9.8,-,0.4,0.4,-,10.2,10.2,-,10.2,10.2,,,,,,,,,,,,,
,281,-,3.4,3.4,-,0.1,0.1,-,3.5,3.5,-,3.5,3.5,,,,,,,,,,,,,
,282,-,3.7,3.7,-,0.2,0.2,-,4.0,4.0,-,4.0,4.0,,,,,,,,,,,,,
,283,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
,284,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
,289,-,2.5,2.5,-,0.1,0.1,-,2.6,2.6,-,2.6,2.6,,,,,,,,,,,,,
29,,-,11.3,11.3,-,0.1,0.1,-,11.5,11.5,-,11.5,11.5,,,,,,,,,,,,,
,291,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
,292,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
