Table 5 - Regional level employment by 2 & 3 digit SIC 2007 (Public/Private Split),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,Northern Ireland,,,,,,,,,Reference year 2010 Thousands ,,,
2 SIC,3 SIC,Full time employees,,,Part time employees,,,Total employees,,,Total employment,,,
,,Public,Private,All,Public,Private,All,Public,Private,All,Public,Private,All,
27,,-,3.2,3.2,-,0.1,0.1,-,3.3,3.3,-,3.3,3.3,
,271,-,2.5,2.5,-,0.1,0.1,-,2.6,2.6,-,2.6,2.6,
,272,-,-,-,-,-,-,-,-,-,-,-,-,
,273,-,-,-,-,-,-,-,-,-,-,-,-,
,274,-,-,-,-,-,-,-,-,-,-,-,-,
,275,-,*,*,-,*,*,-,*,*,-,*,*,
,279,-,*,*,-,*,*,-,*,*,-,*,*,
28,,-,4.3,4.3,-,0.2,0.2,-,4.5,4.5,-,4.6,4.6,
,281,-,*,*,-,*,*,-,*,*,-,*,*,
,282,-,2.1,2.1,-,0.1,0.1,-,2.2,2.2,-,2.2,2.2,
,283,-,0.7,0.7,-,0.1,0.1,-,0.7,0.7,-,0.7,0.7,
,284,-,*,*,-,*,*,-,*,*,-,*,*,
,289,-,0.9,0.9,-,-,-,-,1.0,1.0,-,1.0,1.0,
29,,-,2.5,2.5,-,0.1,0.1,-,2.6,2.6,-,2.7,2.7,
,291,-,*,*,-,*,*,-,*,*,-,*,*,
,292,-,1.1,1.1,-,-,-,-,1.1,1.1,-,1.2,1.2,
,293,-,*,*,-,*,*,-,*,*,-,*,*,
30,,-,6.4,6.4,-,0.2,0.2,-,6.5,6.5,-,6.6,6.6,
,301,-,0.6,0.6,-,-,-,-,0.6,0.6,-,0.7,0.7,
,302,-,*,*,-,*,*,-,*,*,-,*,*,
,303,-,*,*,-,*,*,-,*,*,-,*,*,
,304,-,-,-,-,-,-,-,-,-,-,-,-,
,309,-,*,*,-,*,*,-,*,*,-,*,*,
31,,-,2.2,2.2,-,0.6,0.6,-,2.7,2.7,-,2.9,2.9,
,310,-,2.2,2.2,-,0.6,0.6,-,2.7,2.7,-,2.9,2.9,
32,,-,0.7,0.7,-,0.1,0.1,-,0.8,0.8,-,0.8,0.8,
,321,-,*,*,-,*,*,-,*,*,-,*,*,
,322,-,*,*,-,*,*,-,*,*,-,*,*,
,323,-,*,*,-,*,*,-,*,*,-,*,*,
,324,-,*,*,-,*,*,-,*,*,-,*,*,
,325,-,0.5,0.5,-,0.1,0.1,-,0.7,0.7,-,0.7,0.7,
,329,-,*,*,-,*,*,-,*,*,-,*,*,
33,,-,0.8,0.8,-,-,-,-,0.8,0.8,-,0.8,0.8,
,331,-,*,*,-,*,*,-,*,*,-,*,*,
,332,-,*,*,-,*,*,-,*,*,-,*,*,
35,,-,1.3,1.3,-,0.1,0.1,-,1.3,1.3,-,1.3,1.3,
,351,-,1.0,1.0,-,0.1,0.1,-,1.1,1.1,-,1.1,1.1,
,352,-,0.3,0.3,-,-,-,-,0.3,0.3,-,0.3,0.3,
,353,-,-,-,-,-,-,-,-,-,-,-,-,
36,,0.6,*,*,-,*,*,0.6,*,*,0.6,*,*,
,360,0.6,*,*,-,*,*,0.6,*,*,0.6,*,*,
37,,-,0.2,0.2,-,-,-,-,0.2,0.2,-,0.2,0.3,
,370,-,0.2,0.2,-,-,-,-,0.2,0.2,-,0.2,0.3,
38,,2.0,1.7,3.7,0.1,0.1,0.2,2.1,1.9,4.0,2.1,1.9,4.0,
,381,1.8,0.7,2.5,0.1,0.1,0.2,1.9,0.8,2.7,1.9,0.8,2.7,
,382,0.2,*,*,-,*,*,0.2,-,0.2,0.2,-,0.2,
,383,-,*,*,-,*,*,-,1.1,1.1,-,1.1,1.1,
39,,-,*,*,-,*,*,-,*,*,-,*,*,
,390,-,*,*,-,*,*,-,*,*,-,*,*,
41,,-,9.2,9.3,-,1.0,1.0,-,10.2,10.3,-,12.2,12.3,
,411,-,1.8,1.8,-,0.3,0.3,-,2.2,2.2,-,2.5,2.5,
,412,-,7.4,7.4,-,0.7,0.7,-,8.0,8.1,-,9.7,9.8,
42,,0.5,7.5,8.0,-,0.4,0.4,0.5,7.9,8.4,0.5,8.3,8.9,
,421,0.5,*,*,-,*,*,0.5,*,*,0.5,*,*,
,422,-,*,*,-,*,*,-,*,*,-,*,*,
,429,-,5.3,5.3,-,0.2,0.2,-,5.5,5.5,-,5.7,5.7,
43,,0.5,13.8,14.4,-,2.0,2.0,0.6,15.8,16.4,0.6,20.3,20.8,
,431,0.3,0.4,0.7,-,-,-,0.3,0.5,0.7,0.3,0.6,0.8,
,432,-,7.7,7.7,-,0.7,0.7,-,8.4,8.4,-,10.2,10.2,
,433,0.3,3.5,3.7,-,1.0,1.0,0.3,4.5,4.8,0.3,6.3,6.6,
,439,-,2.3,2.3,-,0.2,0.2,-,2.5,2.5,-,3.2,3.2,
45,,0.1,7.2,7.3,-,1.6,1.6,0.1,8.7,8.9,0.1,10.6,10.7,
,451,-,4.1,4.1,-,0.4,0.4,-,4.5,4.5,-,5.3,5.3,
,452,0.1,2.0,2.1,-,0.9,0.9,0.1,2.9,3.0,0.1,4.0,4.1,
,453,-,*,*,-,*,*,-,*,*,-,*,*,
,454,-,*,*,-,*,*,-,*,*,-,*,*,
46,,-,23.0,23.0,-,2.9,2.9,-,25.9,25.9,-,27.2,27.2,
,461,-,0.3,0.3,-,0.1,0.1,-,0.4,0.4,-,0.4,0.4,
,462,-,0.3,0.3,-,0.1,0.1,-,0.5,0.5,-,0.5,0.5,
,463,-,5.4,5.4,-,1.0,1.0,-,6.4,6.4,-,6.6,6.6,
,464,-,2.2,2.2,-,0.6,0.6,-,2.8,2.8,-,2.9,2.9,
,465,-,*,*,-,*,*,-,*,*,-,*,*,
,466,-,9.3,9.3,-,0.2,0.2,-,9.5,9.5,-,9.9,9.9,
,467,-,5.0,5.0,-,0.8,0.8,-,5.8,5.8,-,6.2,6.2,
,469,-,*,*,-,*,*,-,*,*,-,*,*,
47,,-,37.6,37.6,-,53.4,53.4,-,91.0,91.0,-,95.2,95.2,
,471,-,12.5,12.5,-,27.4,27.4,-,39.9,39.9,-,40.1,40.1,
,472,-,5.6,5.6,-,2.6,2.6,-,8.2,8.2,-,9.5,9.5,
,473,-,1.3,1.3,-,1.9,1.9,-,3.2,3.2,-,3.5,3.5,
,474,-,2.3,2.3,-,0.5,0.5,-,2.8,2.8,-,2.8,2.8,
,475,-,4.3,4.3,-,3.2,3.2,-,7.5,7.5,-,7.7,7.7,
,476,-,2.0,2.0,-,2.8,2.8,-,4.8,4.8,-,4.9,4.9,
,477,-,8.4,8.4,-,14.9,14.9,-,23.3,23.3,-,25.2,25.2,
,478,-,*,*,-,*,*,-,*,*,-,*,*,
,479,-,*,*,-,*,*,-,*,*,-,*,*,
49,,4.1,7.4,11.5,1.1,0.8,1.9,5.2,8.2,13.4,5.2,10.3,15.6,
,491,0.9,*,*,0.1,*,*,0.9,*,*,0.9,*,*,
,492,-,-,-,-,-,-,-,-,-,-,-,-,
,493,3.3,*,*,1.0,*,*,4.3,*,*,4.3,*,*,
,494,-,7.1,7.1,-,0.6,0.6,-,7.8,7.8,-,9.9,9.9,
,495,-,-,-,-,-,-,-,-,-,-,-,-,
50,,-,0.4,0.4,-,-,-,-,0.4,0.4,-,0.4,0.4,
,501,-,*,*,-,*,*,-,*,*,-,*,*,
,502,-,*,*,-,*,*,-,*,*,-,*,*,
,503,-,-,-,-,-,-,-,-,-,-,-,-,
,504,-,-,-,-,-,-,-,-,-,-,-,-,
51,,-,0.5,0.5,-,0.1,0.1,-,0.5,0.5,-,0.6,0.6,
,511,-,0.5,0.5,-,0.1,0.1,-,0.5,0.5,-,0.6,0.6,
,512,-,-,-,-,-,-,-,-,-,-,-,-,
52,,0.6,3.7,4.3,0.1,1.0,1.0,0.7,4.6,5.3,0.7,5.1,5.8,
,521,0.3,1.7,2.0,-,0.5,0.6,0.3,2.2,2.5,0.3,2.7,3.0,
,522,0.3,2.0,2.3,-,0.4,0.5,0.4,2.4,2.8,0.4,2.4,2.8,
53,,3.2,0.4,3.5,0.9,0.2,1.1,4.0,0.6,4.6,4.0,0.7,4.7,
,531,3.2,0.1,3.3,0.9,0.1,1.0,4.0,0.2,4.3,4.0,0.3,4.3,
,532,-,0.3,0.3,-,0.1,0.1,-,0.3,0.3,-,0.4,0.4,
55,,-,4.7,4.7,-,4.6,4.6,-,9.3,9.3,-,9.3,9.3,
,551,-,4.5,4.5,-,4.5,4.5,-,8.9,8.9,-,9.0,9.0,
,552,-,0.1,0.1,-,0.1,0.1,-,0.2,0.2,-,0.2,0.2,
,553,-,*,*,-,*,*,-,*,*,-,*,*,
,559,-,*,*,-,*,*,-,*,*,-,*,*,
56,,0.2,10.7,10.9,0.3,22.8,23.1,0.5,33.5,34.0,0.5,35.5,36.1,
,561,0.2,6.1,6.2,0.3,13.2,13.5,0.5,19.3,19.8,0.5,21.1,21.5,
,562,-,1.3,1.3,-,1.5,1.5,-,2.8,2.8,-,2.8,2.8,
,563,-,3.4,3.4,-,8.1,8.1,-,11.4,11.5,-,11.7,11.7,
58,,-,1.3,1.3,-,0.2,0.2,-,1.5,1.5,-,1.5,1.5,
,581,-,1.3,1.3,-,0.2,0.2,-,1.5,1.5,-,1.5,1.5,
,582,-,-,-,-,-,-,-,-,-,-,-,-,
59,,-,0.3,0.3,-,0.5,0.5,-,0.8,0.8,-,0.8,0.8,
,591,-,*,*,-,*,*,-,*,*,-,*,*,
,592,-,*,*,-,*,*,-,*,*,-,*,*,
60,,0.6,*,*,0.1,*,*,0.7,*,*,0.7,*,*,
,601,-,*,*,-,*,*,-,*,*,-,*,*,
,602,0.6,*,*,0.1,*,*,0.7,*,*,0.7,*,*,
